"year","ccaa","codigo","situation","count","porcentaje"
2006,"Andalucía","1","activos",3591857,0.55
2006,"Andalucía","1","asal_comp",2242676,0.87
2006,"Andalucía","1","asal_indef",1387341,0.54
2006,"Andalucía","1","asal_parc",167245,0.07
2006,"Andalucía","1","asal_parc_inv",159435,0.06
2006,"Andalucía","1","asal_temp",1182016,0.46
2006,"Andalucía","1","asalariados",2569359,0.82
2006,"Andalucía","1","c_propia",569146,0.18
2006,"Andalucía","1","inac_desanim",76042,0.01
2006,"Andalucía","1","inactivos",2880456,0.45
2006,"Andalucía","1","ocupados",3138502,0.48
2006,"Andalucía","1","para_b_1a2a",69287,0.15
2006,"Andalucía","1","para_b_2a4a",37017,0.08
2006,"Andalucía","1","para_b_4mas_a",41499,0.09
2006,"Andalucía","1","para_b_6ma1a",64338,0.14
2006,"Andalucía","1","para_b_menos6m",178580,0.39
2006,"Andalucía","1","parados",453355,0.07
2006,"Andalucía","1","total",6472316,1
2006,"Aragón","2","activos",622083,0.57
2006,"Aragón","2","asal_comp",420230,0.87
2006,"Aragón","2","asal_indef",341523,0.71
2006,"Aragón","2","asal_parc",43425,0.09
2006,"Aragón","2","asal_parc_inv",19086,0.04
2006,"Aragón","2","asal_temp",141212,0.29
2006,"Aragón","2","asalariados",482736,0.82
2006,"Aragón","2","c_propia",105000,0.18
2006,"Aragón","2","inac_desanim",3992,0
2006,"Aragón","2","inactivos",465612,0.43
2006,"Aragón","2","ocupados",587740,0.54
2006,"Aragón","2","para_b_1a2a",4560,0.13
2006,"Aragón","2","para_b_2a4a",2708,0.08
2006,"Aragón","2","para_b_4mas_a",1926,0.06
2006,"Aragón","2","para_b_6ma1a",5645,0.16
2006,"Aragón","2","para_b_menos6m",16635,0.48
2006,"Aragón","2","parados",34346,0.03
2006,"Aragón","2","total",1087695,1
2006,"Asturias (Principado de)","3","activos",470439,0.5
2006,"Asturias (Principado de)","3","asal_comp",297117,0.89
2006,"Asturias (Principado de)","3","asal_indef",230220,0.69
2006,"Asturias (Principado de)","3","asal_parc",20468,0.06
2006,"Asturias (Principado de)","3","asal_parc_inv",15365,0.05
2006,"Asturias (Principado de)","3","asal_temp",102732,0.31
2006,"Asturias (Principado de)","3","asalariados",332947,0.78
2006,"Asturias (Principado de)","3","c_propia",94392,0.22
2006,"Asturias (Principado de)","3","inac_desanim",5305,0.01
2006,"Asturias (Principado de)","3","inactivos",470389,0.5
2006,"Asturias (Principado de)","3","ocupados",427344,0.45
2006,"Asturias (Principado de)","3","para_b_1a2a",7069,0.16
2006,"Asturias (Principado de)","3","para_b_2a4a",4062,0.09
2006,"Asturias (Principado de)","3","para_b_4mas_a",4827,0.11
2006,"Asturias (Principado de)","3","para_b_6ma1a",7172,0.17
2006,"Asturias (Principado de)","3","para_b_menos6m",14625,0.34
2006,"Asturias (Principado de)","3","parados",43096,0.05
2006,"Asturias (Principado de)","3","total",940828,1
2006,"Balears (Illes)","4","activos",528868,0.64
2006,"Balears (Illes)","4","asal_comp",359975,0.9
2006,"Balears (Illes)","4","asal_indef",267119,0.66
2006,"Balears (Illes)","4","asal_parc",30861,0.08
2006,"Balears (Illes)","4","asal_parc_inv",11130,0.03
2006,"Balears (Illes)","4","asal_temp",134844,0.34
2006,"Balears (Illes)","4","asalariados",401967,0.81
2006,"Balears (Illes)","4","c_propia",92824,0.19
2006,"Balears (Illes)","4","inac_desanim",1417,0
2006,"Balears (Illes)","4","inactivos",291734,0.36
2006,"Balears (Illes)","4","ocupados",494788,0.6
2006,"Balears (Illes)","4","para_b_1a2a",5789,0.17
2006,"Balears (Illes)","4","para_b_2a4a",3016,0.09
2006,"Balears (Illes)","4","para_b_4mas_a",1085,0.03
2006,"Balears (Illes)","4","para_b_6ma1a",4980,0.15
2006,"Balears (Illes)","4","para_b_menos6m",21186,0.62
