"ccaa","year","codigo","variable","value"
"Andalucía",2008,"1","total",8118898
"Andalucía",2006,"1","total",7880193
"Andalucía",2009,"1","total",8193279
"Andalucía",2007,"1","total",8007268
"Andalucía",2010,"1","total",8249853
"Andalucía",2013,"1","total",8332657
"Andalucía",2011,"1","total",8298954
"Andalucía",2014,"1","total",8335227
"Andalucía",2015,"1","total",8340842
"Andalucía",2012,"1","total",8327801
"Aragón",2007,"2","total",1291523
"Aragón",2008,"2","total",1316024
"Aragón",2006,"2","total",1265910
"Aragón",2009,"2","total",1323399
"Aragón",2012,"2","total",1317685
"Aragón",2010,"2","total",1322309
"Aragón",2013,"2","total",1310668
"Aragón",2014,"2","total",1304957
"Aragón",2015,"2","total",1302484
"Aragón",2011,"2","total",1321769
"Asturias (Principado de)",2006,"3","total",1055731
"Asturias (Principado de)",2009,"3","total",1067064
"Asturias (Principado de)",2015,"3","total",1038843
"Asturias (Principado de)",2013,"3","total",1052776
"Asturias (Principado de)",2011,"3","total",1064899
"Asturias (Principado de)",2014,"3","total",1044135
"Asturias (Principado de)",2007,"3","total",1059553
"Asturias (Principado de)",2010,"3","total",1066608
"Asturias (Principado de)",2008,"3","total",1064850
"Asturias (Principado de)",2012,"3","total",1060339
"Balears (Illes)",2014,"4","total",1113542
"Balears (Illes)",2010,"4","total",1080761
"Balears (Illes)",2008,"4","total",1050675
"Balears (Illes)",2006,"4","total",981217
"Balears (Illes)",2012,"4","total",1097888
"Balears (Illes)",2015,"4","total",1117102
"Balears (Illes)",2013,"4","total",1107061
"Balears (Illes)",2011,"4","total",1088739
"Balears (Illes)",2009,"4","total",1071131
"Balears (Illes)",2007,"4","total",1018559
"Canarias",2006,"5","total",1912187
"Canarias",2007,"5","total",1958254
"Canarias",2008,"5","total",1999030
"Canarias",2011,"5","total",2062855
"Canarias",2009,"5","total",2023570
"Canarias",2015,"5","total",2113916
"Canarias",2013,"5","total",2098282
"Canarias",2014,"5","total",2107229
"Canarias",2012,"5","total",2082039
"Canarias",2010,"5","total",2042361
"Cantabria",2008,"6","total",575702
"Cantabria",2006,"6","total",559275
"Cantabria",2009,"6","total",581248
"Cantabria",2007,"6","total",567525
"Cantabria",2010,"6","total",584075
"Cantabria",2013,"6","total",582828
"Cantabria",2011,"6","total",585936
"Cantabria",2014,"6","total",580548
"Cantabria",2015,"6","total",579350
"Cantabria",2012,"6","total",585382
"Castilla y León",2010,"7","total",2498175
"Castilla y León",2008,"7","total",2502836
"Castilla y León",2006,"7","total",2464481
"Castilla y León",2007,"7","total",2487827
"Castilla y León",2011,"7","total",2491897
"Castilla y León",2009,"7","total",2502375
"Castilla y León",2012,"7","total",2476429
"Castilla y León",2015,"7","total",2420450
"Castilla y León",2013,"7","total",2455136
"Castilla y León",2014,"7","total",2432526
"Castilla-La Mancha",2006,"8","total",1923078
"Castilla-La Mancha",2009,"8","total",2051713
"Castilla-La Mancha",2015,"8","total",2029752
"Castilla-La Mancha",2013,"8","total",2055735
"Castilla-La Mancha",2011,"8","total",2076195
"Castilla-La Mancha",2014,"8","total",2038191
"Castilla-La Mancha",2007,"8","total",1982910
"Castilla-La Mancha",2010,"8","total",2065369
"Castilla-La Mancha",2008,"8","total",2027889
"Castilla-La Mancha",2012,"8","total",2071546
"Cataluña",2008,"9","total",7308838
"Cataluña",2014,"9","total",7324728
"Cataluña",2012,"9","total",7421488
"Cataluña",2010,"9","total",7406629
"Cataluña",2013,"9","total",7371336
"Cataluña",2006,"9","total",7018779
"Cataluña",2009,"9","total",7378462
"Cataluña",2015,"9","total",7323285
"Cataluña",2011,"9","total",7431522
"Cataluña",2007,"9","total",7170775
"Ceuta",2010,"18","total",79924
"Ceuta",2008,"18","total",75328
"Ceuta",2006,"18","total",72882
"Ceuta",2007,"18","total",74057
"Ceuta",2011,"18","total",82078
"Ceuta",2009,"18","total",77372
"Ceuta",2012,"18","total",83538
"Ceuta",2015,"18","total",83586
"Ceuta",2013,"18","total",83838
