"ccaa","year","codigo","variable","value","porcentaje"
"Andalucía","2008",1,"total",8118898,1
"Andalucía","2008",1,"menores",1442482,0.177669678816017
"Andalucía","2008",1,"mayores",6676417,0.822330444353409
"Andalucía","2008",1,"activos",3841948,0.575450574761882
"Andalucía","2008",1,"ocupados",3160671,0.822674070549627
"Andalucía","2008",1,"asalariados",2593181,0.820452682357639
"Andalucía","2008",1,"asal_temporal",1048517,0.404336218721331
"Andalucía","2008",1,"asal_temp_obra",439605,0.419263588477822
"Andalucía","2008",1,"asal_temp_sustitucion",63630,0.0606857113427822
"Andalucía","2008",1,"asal_temp_prueba",8119,0.00774331746647885
"Andalucía","2008",1,"asal_temp_verbal",99278,0.0946842063600304
"Andalucía","2008",1,"asal_temp_formacion",35896,0.0342350195561922
"Andalucía","2008",1,"asal_temp_circ_produccion",147024,0.140220902474638
"Andalucía","2008",1,"asal_temp_temporada",122041,0.116393916359964
"Andalucía","2008",1,"asal_temp_otro",18616,0.0177546000684777
"Andalucía","2008",1,"asal_temp_ns",114307,0.109017784165636
"Andalucía","2008",1,"asal_indef",1544664,0.595663781278669
"Andalucía","2008",1,"asal_indef_permanente",1502392,0.9726335306578
"Andalucía","2008",1,"asal_indef_discontinuo",42273,0.0273671167321825
"Andalucía","2008",1,"asal_completa",2258528,0.870948846224001
"Andalucía","2008",1,"asal_parcial",334653,0.129051153775999
"Andalucía","2008",1,"asal_parcial_involuntaria",174024,0.52001326747407
"Andalucía","2008",1,"asal_horas_pactadas",37,NA
"Andalucía","2008",1,"asal_horas_hab",38,NA
"Andalucía","2008",1,"asal_horas_dif",1,NA
"Andalucía","2008",1,"asal_horas_extra",94509,0.0364451999301244
"Andalucía","2008",1,"asal_extra_pagadas",21,NA
"Andalucía","2008",1,"asal_extra_nopagadas",12,NA
"Andalucía","2008",1,"parados",681276,0.177325669165746
"Andalucía","2008",1,"parados_nuevo_emp",73313,0.10761130584374
"Andalucía","2008",1,"parados_busca",607963,0.89238869415626
"Andalucía","2008",1,"parados_no_busca",0,0
"Andalucía","2008",1,"parados_tb_4mas_a",38901,0.0571002060838779
"Andalucía","2008",1,"parados_tb_2a4a",45353,0.0665706703303801
"Andalucía","2008",1,"parados_tb_1a2a",91501,0.134308268601859
"Andalucía","2008",1,"parados_tb_6ma1a",113432,0.166499333603415
